4.880358,0.980204,FOLLOW,FORWARD
4.888150,0.978391,FOLLOW,FORWARD
4.895942,0.976578,FOLLOW,FORWARD
4.903733,0.974766,FOLLOW,FORWARD
4.911525,0.972953,FOLLOW,FORWARD
4.919317,0.971140,FOLLOW,FORWARD
4.927109,0.969328,FOLLOW,FORWARD
4.934901,0.967515,FOLLOW,FORWARD
4.942693,0.965702,FOLLOW,FORWARD
4.950485,0.963890,FOLLOW,FORWARD
4.958277,0.962077,FOLLOW,FORWARD
4.966069,0.960264,FOLLOW,FORWARD
4.973861,0.958452,FOLLOW,FORWARD
4.981653,0.956639,FOLLOW,FORWARD
4.989445,0.954826,FOLLOW,FORWARD
4.997237,0.953013,FOLLOW,FORWARD
5.005029,0.951201,FOLLOW,FORWARD
5.012820,0.949388,FOLLOW,FORWARD
5.020612,0.947575,FOLLOW,FORWARD
5.028404,0.945763,FOLLOW,FORWARD
5.036196,0.943950,FOLLOW,FORWARD
5.043988,0.942137,FOLLOW,FORWARD
5.051780,0.940325,FOLLOW,FORWARD
5.059572,0.938512,FOLLOW,FORWARD
5.067364,0.936699,FOLLOW,FORWARD
5.075156,0.934887,FOLLOW,FORWARD
5.082948,0.933074,FOLLOW,FORWARD
5.090740,0.931261,FOLLOW,FORWARD
5.098532,0.929448,FOLLOW,FORWARD
5.106324,0.927636,FOLLOW,FORWARD
5.114116,0.925823,FOLLOW,FORWARD
5.121907,0.924010,FOLLOW,FORWARD
5.129699,0.922198,FOLLOW,FORWARD
5.137491,0.920385,FOLLOW,FORWARD
5.145283,0.918572,FOLLOW,FORWARD
5.153075,0.916760,FOLLOW,FORWARD
5.160867,0.914947,FOLLOW,FORWARD
5.168659,0.913134,FOLLOW,FORWARD
5.176451,0.911322,FOLLOW,FORWARD
5.184243,0.909509,FOLLOW,FORWARD
5.192035,0.907696,FOLLOW,FORWARD
5.199827,0.905884,FOLLOW,FORWARD
5.207619,0.904071,FOLLOW,FORWARD
5.215411,0.902258,FOLLOW,FORWARD
5.223203,0.900445,FOLLOW,FORWARD
5.230994,0.898633,FOLLOW,FORWARD
5.238786,0.896820,FOLLOW,FORWARD
5.246578,0.895007,FOLLOW,FORWARD
5.254370,0.893195,FOLLOW,FORWARD
5.262162,0.891382,FOLLOW,FORWARD
5.269954,0.889569,FOLLOW,FORWARD
5.277746,0.887757,FOLLOW,FORWARD
5.285538,0.885944,FOLLOW,FORWARD
5.293330,0.884131,FOLLOW,FORWARD
5.301122,0.882319,FOLLOW,FORWARD
5.308914,0.880506,FOLLOW,FORWARD
5.316706,0.878693,FOLLOW,FORWARD
5.324498,0.876880,FOLLOW,FORWARD
5.332290,0.875068,FOLLOW,FORWARD
5.340081,0.873255,FOLLOW,FORWARD
5.347873,0.871442,FOLLOW,FORWARD
5.355665,0.869630,FOLLOW,FORWARD
5.363457,0.867817,FOLLOW,FORWARD
5.371249,0.866004,FOLLOW,FORWARD
5.379041,0.864192,FOLLOW,FORWARD
5.386833,0.862379,FOLLOW,FORWARD
5.394625,0.860566,FOLLOW,FORWARD
5.402417,0.858754,FOLLOW,FORWARD
5.410209,0.856941,FOLLOW,FORWARD
5.418001,0.855128,FOLLOW,FORWARD
5.425793,0.853315,FOLLOW,FORWARD
5.433585,0.851503,FOLLOW,FORWARD
5.441377,0.849690,FOLLOW,FORWARD
5.449168,0.847877,FOLLOW,FORWARD
5.456960,0.846065,FOLLOW,FORWARD
5.464752,0.844252,FOLLOW,FORWARD
5.472544,0.842439,FOLLOW,FORWARD
5.480336,0.840627,FOLLOW,FORWARD
5.488128,0.838814,FOLLOW,FORWARD
5.495920,0.837001,FOLLOW,FORWARD
5.503712,0.835189,FOLLOW,FORWARD
5.511504,0.833376,FOLLOW,FORWARD
5.519296,0.831563,FOLLOW,FORWARD
5.527088,0.829751,FOLLOW,FORWARD
5.534880,0.827938,FOLLOW,FORWARD
