2.031845,-0.334845,TARGET_FOLLOW,FOLLOW
2.043762,-0.335599,TARGET_FOLLOW,FOLLOW
2.055741,-0.336194,TARGET_FOLLOW,FOLLOW
2.067788,-0.336699,TARGET_FOLLOW,FOLLOW
2.079866,-0.337162,TARGET_FOLLOW,FOLLOW
2.091936,-0.337621,TARGET_FOLLOW,FOLLOW
2.103966,-0.338101,TARGET_FOLLOW,FOLLOW
2.115559,-0.338602,TARGET_FOLLOW,FOLLOW
2.127075,-0.339141,TARGET_FOLLOW,FOLLOW
2.138635,-0.339697,TARGET_FOLLOW,FOLLOW
2.149845,-0.340235,TARGET_FOLLOW,FOLLOW
2.160970,-0.340766,TARGET_FOLLOW,FOLLOW
2.172174,-0.341273,TARGET_FOLLOW,FOLLOW
2.183500,-0.341743,TARGET_FOLLOW,FOLLOW
2.194919,-0.342184,TARGET_FOLLOW,FOLLOW
2.206382,-0.342616,TARGET_FOLLOW,FOLLOW
2.217847,-0.343061,TARGET_FOLLOW,FOLLOW
2.229282,-0.343538,TARGET_FOLLOW,FOLLOW
2.240330,-0.344044,TARGET_FOLLOW,FOLLOW
2.251338,-0.344596,TARGET_FOLLOW,FOLLOW
2.262416,-0.345175,TARGET_FOLLOW,FOLLOW
2.273188,-0.345747,TARGET_FOLLOW,FOLLOW
2.283919,-0.346323,TARGET_FOLLOW,FOLLOW
2.294758,-0.346887,TARGET_FOLLOW,FOLLOW
2.305730,-0.347428,TARGET_FOLLOW,FOLLOW
2.316797,-0.347953,TARGET_FOLLOW,FOLLOW
2.327909,-0.348481,TARGET_FOLLOW,FOLLOW
2.339023,-0.349033,TARGET_FOLLOW,FOLLOW
2.350109,-0.349624,TARGET_FOLLOW,FOLLOW
2.361149,-0.350269,TARGET_FOLLOW,FOLLOW
2.371826,-0.350955,TARGET_FOLLOW,FOLLOW
2.382551,-0.351704,TARGET_FOLLOW,FOLLOW
2.393469,-0.352503,TARGET_FOLLOW,FOLLOW
2.404117,-0.353299,TARGET_FOLLOW,FOLLOW
2.414821,-0.354115,TARGET_FOLLOW,FOLLOW
2.425734,-0.354935,TARGET_FOLLOW,FOLLOW
2.436860,-0.355746,TARGET_FOLLOW,FOLLOW
2.448135,-0.356553,TARGET_FOLLOW,FOLLOW
2.459488,-0.357375,TARGET_FOLLOW,FOLLOW
2.470861,-0.358232,TARGET_FOLLOW,FOLLOW
2.482211,-0.359142,TARGET_FOLLOW,FOLLOW
2.493510,-0.360116,TARGET_FOLLOW,FOLLOW
2.504408,-0.361130,TARGET_FOLLOW,FOLLOW
2.515367,-0.362223,TARGET_FOLLOW,FOLLOW
2.526535,-0.363383,TARGET_FOLLOW,FOLLOW
2.537405,-0.364539,TARGET_FOLLOW,FOLLOW
2.548384,-0.365732,TARGET_FOLLOW,FOLLOW
2.559628,-0.366950,TARGET_FOLLOW,FOLLOW
2.571113,-0.368177,TARGET_FOLLOW,FOLLOW
2.582748,-0.369416,TARGET_FOLLOW,FOLLOW
2.594440,-0.370686,TARGET_FOLLOW,FOLLOW
2.606116,-0.372003,TARGET_FOLLOW,FOLLOW
2.617726,-0.373384,TARGET_FOLLOW,FOLLOW
2.628879,-0.374794,TARGET_FOLLOW,FOLLOW
2.640055,-0.376289,TARGET_FOLLOW,FOLLOW
2.651402,-0.377863,TARGET_FOLLOW,FOLLOW
2.662904,-0.379500,TARGET_FOLLOW,FOLLOW
